Charity Number,Charity Name,Registered Date,Known As,Charity Status,Notes,Postcode,Constitutional Form,Previous Constitutional Form 1,Geographical Spread,Main Operating Location,Purposes,Beneficiaries,Activities,Objectives,Principal Office/Trustees Address,Website,Most recent year income,Most recent year expenditure,Mailing cycle,Year End,Donations and legacies income,Charitable activities income,Other trading activities income,Investments income,Other income,Raising funds spending,Charitable activities spending,Other spending,Parent charity name,Parent charity number,Parent charity country of registration,Designated religious body,Regulatory Type,_invalid_reason
SC000050,91st Glasgow (Netherlee) Scouts Group,24/05/1957 00:00,91st Glasgow -Netherlee - Scouts Group,Active,,G76 7SY,Unincorporated association,,"A specific local point, community or neighbourhood",Glasgow City,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people','It carries out activities or services itself',"Scouting exists to actively engage and support young people in their personal development, empowering them to make a positive contribution to society","10 Knollpark Drive, Glasgow",,44520,22769,2019,31/08/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC000058,Committed To Ending Abuse (CEA) Limited,17/01/2006 00:00,,Active,,FK1 5RL,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Falkirk,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Other defined groups','It carries out activities or services itself',"5. The Company's objects for the public benefit are to provide services to men, women and children who experience abuse and trauma in all of its forms, and to work with those who perpetrate such abuse. 5.1 To provide a specialist proactive safe service that responds to individual risks and needs; 5.2 To provide effective comprehensive safety and support planning for those affected by abuse and trauma; 5.3 To encourage clients to determine their own futures and to link with services that can provide help and support; 5.4 To ensure that the service we offer is multi-agency in its approach and delivered in line with current best practice; 5.5 To raise awareness of abuse and trauma through activities, engaging with the public and other organisations including providing training and development; 5.6 To work proactively to reduce abuse and its impact by working with perpetrators to support changes in behaviour; 5.7 To ensure the sustainability of the organisation by identifying sources of grant funding and fundraising; and 5.8 To improve understanding of abuse and trauma, the quality of abuse and trauma services and the experience of people using abuse and trauma services by being a 'best practice' organisation supporting other organisations to improve their practice by the delivery of consultancy services, specific training and development.","21 Wellside Place, Falkirk, Stirlingshire",21 Wellside Place,425649,458650,2020,31/03/2020,4235,421414,0,0,0,441037,17613,0,,,,No,Standard,Invalid or no website
SC000156,The Laurandy Centre,05/07/1985 00:00,The Braehead Charity Laurandy Day Centre,Active,,KW1 4QS,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Highland,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','People with disabilities or health problems'",'It carries out activities or services itself',"The company has been formed to promote the relief of the elderly, the sick and the disabled within Wick and East Caithness in any manner which is now or hereafter deemed by law to be charitable but in particular by the provision of a day care centre.","Laurandy Day Centre, Unit 33, Airport Industrial Estate, Wick, Caithness",,334766,336288,2020,31/03/2020,13835,319698,1048,185,0,0,331137,5151,,,,No,Standard,Invalid or no website
SC000158,Inverurie Academy School Fund,06/11/1970 00:00,,Not Submitted,,AB51 3PX,Unincorporated association,,UK and overseas,Aberdeenshire,"'The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'Children / young people','Other charities / voluntary bodies'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The purpose of the Fund is to encourage voluntary educational activities and additional courses for pupils at Inverurie Academy, especially pupils participating in social, musical and sports activities in connection with the school.","Inverurie Academy, Jackson Street, Inverurie",,68353,110279,2019,31/03/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC000233,Addictions Counselling Inverness,03/04/1986 00:00,,Active,,IV1 1EP,Company (the charity is registered with Companies House),,More than one local authority area in Scotland,Highland,'The advancement of health','People with disabilities or health problems','It carries out activities or services itself',To promote the welfare and relieve the needs of those affected by alcohol (or other substance abuse) related problems.,"108 Church Street, Inverness, Inverness, Inverness-shire, Inverness-shire",Addictions Counselling Inverness,79776,72475,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000241,Edinburgh Mathematical Society,11/05/1932 00:00,,Active,,EH8 9BT,Unincorporated association,,Scotland and other parts of the UK,City of Edinburgh,"'The advancement of education','The advancement of the arts, heritage, culture or science'","'Children / young people','Other defined groups','No specific group, or for the benefit of the community'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The aims of the Edinburgh Mathematical Society shall be the promotion and extension of the Mathematical Sciences, pure and applied, particularly in Scotland.","lnternational Centre for Mathematical Sciences, Bayes Centre, 47 Potterrow, Edinburgh",www.ems.ac.uk,125585,116534,2020,31/07/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000267,Abbeyfield Monifieth Society Ltd,02/12/1985 00:00,,Active,,DD5 4JN,Registered Society,,"A specific local point, community or neighbourhood",Angus,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Older people','It carries out activities or services itself',"The objects of the Society shall be to carry on for the benefit of the community the provision and management for the relief and care of elderly persons of all classes suffering from the disabilities of old age or otherwise being in need, of housing for letting and not for sale and/or hostels. And in furtherance of this object but not otherwise the Society may (i) provide land or buildings for purposes connected with the requirements of the elderly persons occupying the houses or hostels provided or managed by the Society; and (ii) provide amenities or services for the benefit of such persons either exclusively or together with other persons.","6/8 Maule Street, Monifieth, Angus",,112595,132814,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000278,Heriot-Watt University,15/01/1934 00:00,,Active,,EH14 4AS,Statutory corporation (Royal Charter etc),,UK and overseas,City of Edinburgh,'The advancement of education',"'Children / young people','Other defined groups'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The University shall engage in, and promote, original research and shall be a teaching, examining and awarding body. Its objects shall be to advance education, knowledge and wisdom by research, knowledge exchange, scholarship, learning and teaching, for the benefit of individuals and society at large (hereinafter called 'the Objects').","George Heriot Wing, Edinburgh Campus, Edinburgh",www.hw.ac.uk,230690000,222476000,2020,31/07/2020,1431000,204684000,19607000,1290000,3678000,9430000,213046000,0,,,,No,Standard,Invalid or no website
SC000283,Society Of Friends Of Dunblane Cathedral,01/01/1992 00:00,,Active,,FK9 4ND,Unincorporated association,,"A specific local point, community or neighbourhood",Stirling,"'The advancement of education','The advancement of the arts, heritage, culture or science','The advancement of environmental protection or improvement'","'No specific group, or for the benefit of the community'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","(a) The safeguarding of the amenity of the Cathedral and the beautifying of its surroundings. (b) The adornment and equipment of the Cathedral and its further endowment. (c) To support and encourage in every way the work of the Organist, Choirmaster and Choir of the Cathedral. (d) The giving of aid to the Leighton Library. (e) The encouragement of research into the history of the Cathedral, and the giving of grants in aid of the publication of approved monographs in connection with the Cathedral. (f) To support the Dunblane Cathedral Museum; and (g) Generally, the support of any object connected with the Cathedral, as approved by the Executive Committee of the Society.","Old Keir Farm Cottage, Lecropt Road, Bridge of Allan, Stirling",,33613,20822,2020,31/05/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000407,2nd West Lothian Scout Group,21/03/1972 00:00,,Active,,EH49 6AA,Unincorporated association,,"A specific local point, community or neighbourhood",West Lothian,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people','It carries out activities or services itself',"Scouting exists to actively engage and support young people in their personal development, empowering them to make a positive contribution to society","3 Greenpark Cottages, Edinburgh Road, Linlithgow",,30468,23032,2020,31/03/2020,,,,,,,,,The Scout Association,SC017511,Scotland,No,Standard,Invalid or no website
